step,time,psi_res,omega_res,max_residual
240000,2.4000100000000000e+01,1.2588552422698740e-10,2.1205846363661847e+00,2.1205846363661847e+00
245000,2.4500100000000000e+01,1.3590240044436541e-10,1.8925459515379748e+00,1.8925459515379748e+00
250000,2.5000100000000000e+01,1.2869927346059740e-10,1.5626353922637062e+00,1.5626353922637062e+00
255000,2.5500100000000000e+01,1.2784262537479663e-10,1.4706185127066311e+00,1.4706185127066311e+00
260000,2.6000100000000000e+01,1.4234835532533907e-10,1.5855613021399280e+00,1.5855613021399280e+00
265000,2.6500100000000000e+01,1.4007550674932645e-10,1.6052938926924778e+00,1.6052938926924778e+00
270000,2.7000100000000000e+01,1.4186296581897295e-10,1.6372794001649984e+00,1.6372794001649984e+00
275000,2.7500100000000000e+01,1.4224577071786371e-10,1.9714090731524838e+00,1.9714090731524838e+00
280000,2.8000100000000000e+01,1.3258061315468694e-10,2.1349001261452818e+00,2.1349001261452818e+00
285000,2.8500100000000000e+01,1.5052092905420977e-10,2.1452707383969014e+00,2.1452707383969014e+00
290000,2.9000100000000000e+01,1.3607870386067589e-10,1.9348087615439988e+00,1.9348087615439988e+00
295000,2.9500100000000000e+01,1.3166401302555641e-10,1.6198750715771812e+00,1.6198750715771812e+00
300000,3.0000100000000000e+01,1.6129764190964124e-10,1.5603607247181945e+00,1.5603607247181945e+00
305000,3.0500100000000000e+01,1.3855006031349149e-10,1.6742892019150959e+00,1.6742892019150959e+00
